SDS 2.4	AQ Results	1.0
Filename	2021 10 24 ybeX 4pure 3rep
PlateID	
Assay Type	Absolute Quantification
Run DateTime	24.10.21 14:52:10
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
247	K7	SYBR	SYBR	Unknown	20.675102	83.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
248	K8	SYBR	SYBR	Unknown	23.863747	89.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
249	K9	SYBR	SYBR	Unknown	23.585297	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
250	K10	SYBR	SYBR	Unknown	22.358206	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
251	K11	SYBR	SYBR	Unknown	24.844482	90.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
252	K12	SYBR	SYBR	Unknown	19.679865	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
253	K13	SYBR	SYBR	Unknown	32.565674	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
254	K14	SYBR	SYBR	Unknown	20.740047	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
255	K15	SYBR	SYBR	Unknown	20.884422	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
256	K16	SYBR	SYBR	Unknown	23.406347	81.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
268	L4	SYBR	SYBR	Unknown	21.529394	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
269	L5	SYBR	SYBR	Unknown	21.732271	87.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
270	L6	SYBR	SYBR	Unknown	18.695053	86.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
271	L7	SYBR	SYBR	Unknown	21.144064	83.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.04372608													
