"Well","Gene","Ct","TmValue","Bacteria","TDate","SamP","BioRep","PurifRep"
231,"ybeZ",23.087336,87.5,"WT","2020-07-20","J15","df2","rep1"
232,"ybeZY",21.454163,82.1,"WT","2020-07-20","J16","df2","rep1"
244,"CorA",22.16407,87.1,"WT","2020-07-20","K4","df2","rep1"
245,"cysG",21.496767,87.9,"WT","2020-07-20","K5","df2","rep1"
246,"frr",17.377668,86.5,"WT","2020-07-20","K6","df2","rep1"
247,"gyrA",20.559948,84.4,"WT","2020-07-20","K7","df2","rep1"
248,"hcaT",25.05633,89.3,"WT","2020-07-20","K8","df2","rep1"
249,"idnT",26.439669,87.6,"WT","2020-07-20","K9","df2","rep1"
250,"Lnt2",23.3462,86.8,"WT","2020-07-20","K10","df2","rep1"
251,"Lnt",24.874123,90.6,"WT","2020-07-20","K11","df2","rep1"
252,"miaB",20.33788,85.7,"WT","2020-07-20","K12","df2","rep1"
253,"ybeX",19.646105,84.9,"WT","2020-07-20","K13","df2","rep1"
254,"ybeY",25.097795,86.2,"WT","2020-07-20","K14","df2","rep1"
255,"ybeZ",23.161638,87.5,"WT","2020-07-20","K15","df2","rep1"
256,"ybeZY",21.474833,82.1,"WT","2020-07-20","K16","df2","rep1"
268,"CorA",22.055334,87.1,"WT","2020-07-20","L4","df2","rep1"
269,"cysG",21.42717,87.9,"WT","2020-07-20","L5","df2","rep1"
270,"frr",17.702103,86.3,"WT","2020-07-20","L6","df2","rep1"
271,"gyrA",20.719215,84.4,"WT","2020-07-20","L7","df2","rep1"
272,"hcaT",25.043415,89.3,"WT","2020-07-20","L8","df2","rep1"
273,"idnT",26.469013,87.6,"WT","2020-07-20","L9","df2","rep1"
274,"Lnt2",23.318537,86.8,"WT","2020-07-20","L10","df2","rep1"
275,"Lnt",24.562279,90.6,"WT","2020-07-20","L11","df2","rep1"
276,"miaB",20.460018,85.7,"WT","2020-07-20","L12","df2","rep1"
277,"ybeX",19.658337,84.9,"WT","2020-07-20","L13","df2","rep1"
278,"ybeY",25.271,86.2,"WT","2020-07-20","L14","df2","rep1"
280,"ybeZY",21.416134,82.1,"WT","2020-07-20","L16","df2","rep1"
316,"CorA",21.977812,87.1,"WT","2020-07-20","N4","df2","rep2"
317,"cysG",21.442165,87.6,"WT","2020-07-20","N5","df2","rep2"
318,"frr",17.616325,86.3,"WT","2020-07-20","N6","df2","rep2"
319,"gyrA",21.079697,84.1,"WT","2020-07-20","N7","df2","rep2"
320,"hcaT",25.48155,89.3,"WT","2020-07-20","N8","df2","rep2"
321,"idnT",26.782593,87.6,"WT","2020-07-20","N9","df2","rep2"
322,"Lnt2",23.696592,86.5,"WT","2020-07-20","N10","df2","rep2"
323,"Lnt",25.81276,90.6,"WT","2020-07-20","N11","df2","rep2"
324,"miaB",20.357212,85.4,"WT","2020-07-20","N12","df2","rep2"
325,"ybeX",19.602745,84.9,"WT","2020-07-20","N13","df2","rep2"
326,"ybeY",24.677692,86.2,"WT","2020-07-20","N14","df2","rep2"
327,"ybeZ",23.034525,87.5,"WT","2020-07-20","N15","df2","rep2"
328,"ybeZY",21.756042,82.1,"WT","2020-07-20","N16","df2","rep2"
340,"CorA",22.015532,87.1,"WT","2020-07-20","O4","df2","rep2"
341,"cysG",21.383228,87.6,"WT","2020-07-20","O5","df2","rep2"
342,"frr",17.496002,86.3,"WT","2020-07-20","O6","df2","rep2"
343,"gyrA",20.88756,84.1,"WT","2020-07-20","O7","df2","rep2"
344,"hcaT",25.236618,89.3,"WT","2020-07-20","O8","df2","rep2"
345,"idnT",26.81382,87.6,"WT","2020-07-20","O9","df2","rep2"
346,"Lnt2",23.65025,86.5,"WT","2020-07-20","O10","df2","rep2"
347,"Lnt",25.45581,90.6,"WT","2020-07-20","O11","df2","rep2"
348,"miaB",20.372362,85.4,"WT","2020-07-20","O12","df2","rep2"
349,"ybeX",19.668926,84.9,"WT","2020-07-20","O13","df2","rep2"
350,"ybeY",24.473412,86.2,"WT","2020-07-20","O14","df2","rep2"
351,"ybeZ",23.062674,87.5,"WT","2020-07-20","O15","df2","rep2"
352,"ybeZY",21.679426,82.1,"WT","2020-07-20","O16","df2","rep2"
364,"CorA",22.077488,87.1,"WT","2020-07-20","P4","df2","rep2"
365,"cysG",21.411102,87.6,"WT","2020-07-20","P5","df2","rep2"
366,"frr",17.573488,86.3,"WT","2020-07-20","P6","df2","rep2"
367,"gyrA",21.007648,84.1,"WT","2020-07-20","P7","df2","rep2"
368,"hcaT",25.34941,89.3,"WT","2020-07-20","P8","df2","rep2"
369,"idnT",26.600887,87.6,"WT","2020-07-20","P9","df2","rep2"
370,"Lnt2",23.801447,86.5,"WT","2020-07-20","P10","df2","rep2"
371,"Lnt",25.55493,90.6,"WT","2020-07-20","P11","df2","rep2"
372,"miaB",20.358862,85.4,"WT","2020-07-20","P12","df2","rep2"
373,"ybeX",19.84619,84.9,"WT","2020-07-20","P13","df2","rep2"
374,"ybeY",24.792635,86.2,"WT","2020-07-20","P14","df2","rep2"
375,"ybeZ",23.057507,87.5,"WT","2020-07-20","P15","df2","rep2"
376,"ybeZY",21.614937,82.1,"WT","2020-07-20","P16","df2","rep2"
20,"CorA",20.998158,87.2,"WT","2020-08-01","A20","df1","rep1"
21,"CorA",21.049965,88,"WT","2020-08-01","A21","df1","rep1"
22,"CorA",20.660824,88,"WT","2020-08-01","A22","df1","rep1"
23,"CorA",21.229574,88.3,"WT","2020-08-01","A23","df1","rep1"
44,"cysG",20.174635,90.2,"WT","2020-08-01","B20","df1","rep1"
45,"cysG",20.504328,90.5,"WT","2020-08-01","B21","df1","rep1"
46,"cysG",20.563848,90.5,"WT","2020-08-01","B22","df1","rep1"
68,"frr",15.141215,86.4,"WT","2020-08-01","C20","df1","rep1"
69,"frr",15.702138,86.4,"WT","2020-08-01","C21","df1","rep1"
70,"frr",15.671772,87.2,"WT","2020-08-01","C22","df1","rep1"
71,"frr",14.93056,88.8,"WT","2020-08-01","C23","df1","rep1"
92,"gyrA",19.348476,84.2,"WT","2020-08-01","D20","df1","rep1"
93,"gyrA",20.203346,84.2,"WT","2020-08-01","D21","df1","rep1"
94,"gyrA",20.054379,84.2,"WT","2020-08-01","D22","df1","rep1"
95,"gyrA",20.513868,85.8,"WT","2020-08-01","D23","df1","rep1"
116,"hcaT",23.779469,89.1,"WT","2020-08-01","E20","df1","rep1"
117,"hcaT",24.649788,89.1,"WT","2020-08-01","E21","df1","rep1"
118,"hcaT",24.669065,89.1,"WT","2020-08-01","E22","df1","rep1"
119,"hcaT",25.184443,91,"WT","2020-08-01","E23","df1","rep1"
140,"idnT",24.801409,87.5,"WT","2020-08-01","F20","df1","rep1"
